page,product_name,price_range,rating
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,"Samsung Galaxy Tab S6 10.5"" 256GB Android 9 Tablet With Snapdragon 8150 8-Core Processor - Mountain Grey",$779.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,…,$779.99,9
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,(,SAVE $220,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,9,$249.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,),$249.99,16
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$779.99,SAVE $50,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$779.99,$149.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,SAVE $220,$149.99,6
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,"Samsung Galaxy Tab A 10.1"" 32GB Android 9.0 Tablet With 8-Core Processor - Black",SAVE $50,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,…,$499.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,(,$499.99,9
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,16,SAVE $50,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,),$699.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$249.99,$699.99,4
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$249.99,SAVE $200,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,SAVE $50,$249.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,"Samsung Galaxy Tab A 8"" 32GB Android Tablet with Quad-Core Processor - Black",$249.99,16
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,…,SAVE $50,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,(,$699.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,6,$699.99,7
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,),SAVE $400,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$149.99,$149.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$149.99,$149.99,6
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,SAVE $50,SAVE $50,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,"Samsung Galaxy Tab S5e 10.5"" 64GB Android 9.0 Tablet With 8-Core Processor - Black",$479.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,…,$479.99,764
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,(,SAVE $50,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,9,$649.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,),$649.99,462
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$499.99,SAVE $50,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$499.99,$199.62,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,SAVE $50,$199.62,2
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,"Samsung Galaxy Tab S6 10.5"" 128GB Android 9 Tablet With Snapdragon 8150 8-Core Processor - Mountain Grey",SAVE $200,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,…,$1179.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,(,"$1,179.99",274
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,4,SAVE $120,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,),$779.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$699.99,$779.99,9
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$699.99,SAVE $220,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,SAVE $200,$219.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,iPad,$219.99,0
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,Android Tablets,SAVE $40,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,Windows Tablets,$829.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,Refurbished Tablets,$829.99,2
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,Tablet & iPad Accessories,SAVE $370,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,"Samsung Galaxy Tab A 10.1"" 32GB Android 9.0 Tablet With 8-Core Processor - Black",$638.92,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,(,$638.92,0
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,16,SAVE $161,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,),$149.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$249.99,$149.99,3
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$249.99,SAVE $50,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,SAVE $50,$249.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,"Microsoft Surface Pro 4 12.3"" (Intel Core i5 / 256GB SSD / 8GB RAM / Windows 10 Pro / 1 Year Warranty) - Factory Recertified",$249.99,6
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,(,SAVE $50,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,7,$699.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,),$699.99,4
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$699.99,SAVE $200,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$699.99,$245.98,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,SAVE $400,$245.98,5
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,Marketplace seller,SAVE $204,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,"Samsung Galaxy Tab A 8"" 32GB Android Tablet with Quad-Core Processor - Black",$299.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,(,$299.99,3
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,6,SAVE $150,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,),$599.98,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$149.99,$599.98,2
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$149.99,SAVE $100,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,SAVE $50,$169.59,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,"Microsoft Surface Go 10"" 64GB Windows 10 S Tablet With Intel Pentium Gold Processor - Silver",$169.59,0
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,(,SAVE $170,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,764,$499.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,),$499.99,9
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$479.99,SAVE $50,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$479.99,$489.95,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,SAVE $50,$489.95,0
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,"Microsoft Surface Go 10"" 128GB Windows 10 S Tablet With Intel Pentium Gold Processor - Silver",SAVE $110,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,(,$249.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,462,$249.99,0
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,),SAVE $50,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$649.99,$134.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$649.99,$134.99,0
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,SAVE $50,SAVE $40,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,"Apple iPad Air 9.7in Wifi only 16gb in Gray, Refurbished",$139.59,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,(,$139.59,11
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,2,SAVE $63,)
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,),$299.99,(
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$199.62,$299.99,2
https://www.bestbuy.ca/en-ca/collection/save-on-tablets/63065?icmp=computing_evergreen_tablets_and_ipads_category_detail_feature_orientation_banner,$199.62,SAVE $50,)
